domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
app.nash.io,100,0,0,1,US,1,0,9.72,0,0,0,0,0,0,0,1
bitstorage.finance,51,0,0.25,1,US,1,0,5.9,1,3.08,0,0,0,1,1,1
bitdelta.com,93,0,0,1,US,0,0,10.76,0,4.03,0,0,0,0,0,1
bitunix.com,100,0,0,1,US,1,0,1.78,0,3.33,0,0,0,0,0,1
poloniex.com,100,0,0,1,US,1,0,10.53,1,1.74,0.11,0.45,0,13,0,1
azbit.com,65,0,0.04,1,US,0,0,10.02,0,1.66,0,0,0,3,0,1
protofi.app,86,0,0.03,1,US,1,0,3.17,0,0,0,0,0,0,0,1
paribu.com,100,0,0.17,1,US,1,0,9.04,0,2.27,0,0,0,1,1,1
exchange.fastex.com,68,0,0.02,1,GB,1,0,27.23,1,2.35,0,0,0,0,0,1
coindcx.com,31,0,0.56,1,US,1,0,6.53,0,2.24,0,0,2,21,3,1
app.koi.finance,56,0,0.08,1,US,1,0,1.25,0,0,0,0,0,0,0,1
app.diffusion.fi,82,0,0.46,1,BR,0,0,2.58,0,0,0,0,0,0,0,1
trubit.com,57,0,0.09,1,NL,1,0,8.58,0,2.55,0,0,0,1,0,1
app.3xcalibur.com,52,0,0.18,1,US,1,0,2.04,0,0,0,0,0,0,0,1
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
,44.57968476,0,0,0,US,0,0,0,0,0,0,0,0,0,0,0
101investing.com,1,0,0.47,1,US,1,0,11.72,1,1.44,0,0,0,13,5,0
10brokers.com,10,0,0.09,1,US,1,0,3.33,1,2.02,0.4,0,0,8,3,0
13xbtc.com,1,0,1,1,US,1,0,7.06,1,1.26,0,0,0,0,0,0
ww25.247bitcoins.net,77,0,0.1,0,US,1,0,7.59,0,1,0,0,0,0,0,0
247cryptobase.com,40,0,0.21,1,US,0,3,0,0,1,0,0,0,0,0,0
247tradegrowth.net,1,0,0.41,1,AU,1,0,0.96,1,1,0,0,0,3,0,0
2639088.com,47,0,0,1,HK,1,0,2.27,0,0,0,0,0,0,0,0
