domain,trust_score,blacklisted,ip_bad_count_total,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,alexa_rank,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_total_count,facebook_comments_negative_count,facebook_comments_positive_count,popularity_rank,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
gwt-capital.com,51,False,5000,246,True,US,True,-1,0,1.13,False,0,0,0,0,-1,0,0,0,False
h5.opensoilx.com,21,False,15,7,True,HK,,-1,0,2.08,,1.55,0,0,0,-1,0,0,0,False
hgeex.com,31,False,5000,181,True,DE,True,-1,0,2.03,True,1.0,0,0,0,-1,0,3,0,False
hkselead.com,1,False,11,2,False,US,,-1,0,0.95,,1.07,0,0,0,-1,0,3,1,False
hnbaishihengtong.com,21,False,112,35,True,US,True,-1,0,1.88,True,3.2,0,0,0,-1,0,0,0,False
icmarket-trading.com,1,False,5000,146,True,US,True,-1,0,0.72,True,0,0,0,0,-1,0,0,0,False
idigitale-finance.com,42,False,5000,328,True,US,True,-1,1,4.18,False,0,0,0,0,-1,0,0,0,False
imtoken.im,1,False,5000,1316,False,-,,2711735,0,0,,1.4,0,0,0,-1,0,1,1,False
imtokenbe.com,22,False,5000,1379,True,US,True,-1,0,1.97,False,1.0,0,0,0,-1,0,3,2,False
ww25.imtokenhot.com,51,False,5000,1423,False,US,True,-1,0,0.33,True,1.0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
interactivecoins.com,13,False,5000,99,False,US,False,-1,1,5.41,,0,0,0,0,-1,0,0,0,False
intertradesfx.com,25,False,5000,67,False,,,3414641,3,0,,2.28,0,0,0,-1,0,3,1,False
ism-agency.com,100,False,582,8,True,US,True,-1,0,24.51,False,0,0,0,0,-1,0,0,0,False
itexustrade.com,42,False,5000,512,True,US,True,-1,0,2.28,True,1.1,0,0,0,-1,0,0,0,False
jexwallet.xyz,1,False,0,0,True,,True,-1,0,1.83,False,1.0,0,0,0,-1,0,3,1,False
jpcrypto.io,1,False,5000,184,True,DE,True,-1,0,2.16,True,1.21,0,0,0,-1,0,2,1,False
justtice.com,1,False,46,32,False,HK,,-1,0,39.58,,0.89,0,0,0,-1,0,0,0,False
kacofinance.io,1,False,5000,633,True,,,-1,3,0,,1.0,0,0,0,-1,0,5,1,False
hugedomains.com,100,False,55,2,True,US,,1457,0,20.74,,1.31,18,9,2,-1,10,171,48,False
hugedomains.com,100,False,55,2,True,US,,1457,0,20.74,,1.31,18,9,2,-1,10,171,48,False
kryptowize.com,13,False,0,0,False,,True,-1,2,4.06,False,0,0,0,0,-1,0,0,0,False
lacentraledescryptomonnaies.com,13,False,18,0,True,US,True,-1,0,3.35,False,0,0,0,0,-1,0,0,0,False
legalcryptocoinstrade.com,1,False,238,136,True,US,False,-1,1,3.72,True,1.0,0,0,0,-1,0,1,0,False
lhk-group.com,6,False,109,35,True,FR,True,-1,0,0.64,True,0,0,0,0,-1,0,0,0,False
lidcoin.vip,1,False,3,3,True,US,True,-1,0,0.9,False,1.0,0,0,0,-1,0,0,0,False
m.coinlistro.com,1,False,51,6,True,US,,-1,0,1.56,,1.0,0,0,0,-1,0,6,0,False
mabanquecrypto.com,10,False,0,0,False,US,True,-1,0,0,,0,0,0,0,-1,0,0,0,False
mantao.network,1,False,0,0,False,,True,-1,0,0.55,False,1.0,0,0,0,-1,0,0,0,False
mcminage.com,50,False,0,0,False,US,True,-1,0,3.39,True,0,0,0,0,-1,0,0,0,False
micavhe.top,46,False,0,0,True,,True,-1,0,1.7,False,1.0,0,0,0,-1,0,0,0,False
miner-us.com,42,False,250,99,True,US,True,-1,0,1.57,True,1.54,0,0,0,-1,0,1,0,False
ww25.mineslots.site,90,False,5000,510,False,US,True,-1,0,9.39,False,0,0,0,0,-1,0,0,0,False
modestiacapital.com,36,False,217,79,True,US,,-1,0,0.59,,1.0,0,0,0,-1,0,0,0,False
moneo-invest.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
monnaiestech.com,13,False,5000,297,False,US,True,-1,0,6.52,True,0,0,0,0,-1,0,0,0,False
hugedomains.com,100,False,55,3,True,US,False,1457,0,20.74,True,1.21,18,9,2,-1,10,171,48,False
my-minings.top,1,False,600,277,True,HK,True,-1,0,1.32,False,1.0,0,0,0,-1,0,0,0,False
mycrypto-invest.com,25,False,0,0,False,US,True,-1,1,4.36,False,0,0,0,0,-1,0,0,0,False
hugedomains.com,100,False,55,2,True,US,,1457,0,20.74,,1.31,18,9,2,-1,10,171,48,False
mywitrade.com,1,False,5000,161,True,US,True,-1,0,1.08,True,3.51,0,0,0,-1,0,0,0,False
na-cryptoinvestment.ltd,16,False,5000,916,True,DE,True,-1,0,0.68,False,1.63,0,0,0,-1,0,0,0,False
natsle.com,26,False,8,6,False,US,True,-1,0,1.93,False,0,0,0,0,-1,0,0,0,False
ww16.newcfds.com,92,False,5000,694,False,DE,,-1,0,2.27,,0,0,0,0,-1,0,0,0,False
nixse.com,1,False,194,63,True,NL,True,7936718,0,4.43,True,2.42,0,0,0,-1,0,0,0,False
nowpayments.io,56,False,37,9,True,US,True,37293,0,5.29,True,3.17,0,0,0,-1,0,0,0,False
oceanfx.io,1,False,216,86,True,US,True,-1,0,0.41,False,2.0,0,0,0,-1,0,0,0,False
oneglobal-advr.com,1,False,193,61,True,US,True,-1,0,1.01,True,1.0,0,0,0,-1,0,0,0,False
originalcrypto.com,44,False,1,1,True,US,True,-1,0,6.88,True,1.87,9,2,0,-1,0,0,0,False
origine-bitcoin.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
paiement-bitcoin.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
panda-life130.com,1,False,5000,188,True,US,True,-1,0,0.6,True,3.74,0,0,0,-1,0,0,0,False
paradisecrypto.net,50,False,2,2,True,GB,True,-1,0,4.67,True,0,0,0,0,-1,0,0,0,False
phoenix-gm.com,42,False,5000,337,False,US,True,-1,1,5.78,False,0,0,0,0,-1,0,0,0,False
poloniefxt.com,1,False,136,61,True,US,True,-1,0,1.55,True,2.95,0,0,0,-1,0,0,0,False
positiva-ad.com,10,False,0,0,False,NL,True,-1,1,6.44,False,0,0,0,0,-1,0,0,0,False
ww25.premium-exchange.com,1,False,5000,512,False,US,,-1,0,0.24,,0,0,0,0,-1,0,0,0,False
premium-xtrade.com,38,False,5000,108,True,BR,,-1,0,1.41,,4.0,0,0,0,-1,0,0,0,False
primegroup.global,1,False,219,64,True,US,True,-1,0,0.83,False,1.0,0,0,0,-1,0,0,0,False
