domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
valr.com,62.0,0,0.0,1,US,1,0,23.54,0,2.41,0.0,0.0,0,1,0,1
app.openxswap.exchange,52.0,0,0.0,1,US,1,0,2.22,1,0.0,0.0,0.0,0,0,0,1
bitcoin-patrimoine.com,10.0,0,0.0,1,FR,1,0,1.89,0,0.0,0.0,0.0,0,0,0,0
commercialbtc.com,13.0,0,0.04,0,US,1,0,5.5,0,2.1,0.0,0.0,0,0,0,0
coindcx.win,1.0,0,0.5,1,US,1,0,0.71,1,1.0,0.0,0.0,0,1,0,0
coindcx.win,1.0,0,0.5,1,US,1,0,0.71,1,1.0,0.0,0.0,0,1,0,0
bitmex.com,100.0,0,0.5,1,NL,0,0,20.92,1,1.87,0.0,0.75,0,16,3,1
,44.5796847636,0,0.0,0,US,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
bytobit.com,1.0,0,1.0,1,RU,1,0,0.97,1,1.0,0.0,0.0,0,0,0,0
app.diffusion.fi,82.0,0,0.46,1,BR,0,0,2.58,0,0.0,0.0,0.0,0,0,0,1
quickswap.exchange,62.0,0,0.38,1,US,1,0,3.83,0,1.9,0.0,0.0,0,0,0,1
ww25.gechains.com,22.0,0,0.28,0,US,1,0,1.01,1,1.1,0.0,0.0,0,0,0,0
gregor.com,72.0,0,0.0,1,DE,1,0,6.88,0,2.08,0.0,0.0,0,0,0,1
bitecx.com,71.0,0,0.03,1,US,0,3,6.45,0,1.4,0.0,0.0,0,0,0,0
sz51ly.com,31.0,0,1.0,0,HK,0,0,0.93,1,1.0,0.0,0.0,0,0,0,0
cryptofrancecapital.com,13.0,0,0.0,0,US,1,2,0.0,0,0.0,0.0,0.0,0,0,0,0
bitbank.cc,1.0,0,0.11,1,NL,1,0,9.08,1,1.42,0.0,0.0,0,8,0,1
app.openxswap.exchange,52.0,0,0.0,1,US,1,0,2.22,1,0.0,0.0,0.0,0,0,0,1
ww25.apro3.vip,61.0,0,0.27,0,US,1,0,0.08,0,0.0,0.0,0.0,0,0,0,0
tradehuxe.com,1.0,0,0.29,1,US,1,0,1.83,1,1.76,0.0,0.0,0,0,0,0
coinjab.net,41.0,0,0.04,1,DE,1,0,1.77,1,1.2,0.0,0.0,0,0,0,0
mainnet.aux.exchange,62.0,0,0.14,1,US,1,0,1.84,0,0.0,0.0,0.0,0,0,0,1
delta.exchange,1.0,0,0.17,1,US,1,0,6.42,0,2.2,0.0,0.0,0,1,0,1
kuna.io,83.0,0,0.0,1,US,1,0,10.22,0,4.1,1.0,0.0,0,0,0,1
cryptofrancecapital.com,13.0,0,0.0,0,US,1,2,0.0,0,0.0,0.0,0.0,0,0,0,0
paiement-bitcoin.com,13.0,0,0.0,0,US,1,2,0.0,0,0.0,0.0,0.0,0,0,0,0
,44.5796847636,0,0.0,0,US,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
kacoro.com,100.0,0,0.31,1,NL,1,0,7.41,0,3.5,0.0,0.0,0,0,0,1
bakktunt.com,52.0,0,0.25,1,US,0,0,1.66,1,0.0,0.0,0.0,0,0,0,0
sz51ly.com,31.0,0,1.0,0,HK,0,0,0.93,1,1.0,0.0,0.0,0,0,0,0
exs- bitcoins.com,1.0,0,1.0,1,HK,1,0,1.54,1,1.37,0.0,0.0,0,0,0,0
ww25.premium-exchange.com,1.0,0,0.1,0,US,0,0,0.24,0,0.0,0.0,0.0,0,0,0,0
app.diffusion.fi,82.0,0,0.46,1,BR,0,0,2.58,0,0.0,0.0,0.0,0,0,0,1
fitbelaepro.com.tw,1.0,0,0.0,1,HK,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0
bitcoinified.com,1.0,0,0.34,1,CH,0,0,0.42,0,1.0,0.0,0.0,0,0,0,0
cryptosone.com,10.0,0,0.06,0,US,1,1,6.87,0,0.0,0.0,0.0,0,0,0,0
apyeth.gifts,26.0,0,0.03,1,US,1,0,0.58,0,0.0,0.0,0.0,0,0,0,0
fitbelaepro.com.tw,1.0,0,0.0,1,HK,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0
lacentraledescryptomonnaies.com,13.0,0,0.0,1,US,1,0,3.35,0,0.0,0.0,0.0,0,0,0,0
icmarket-trading.com,1.0,0,0.03,1,US,1,0,0.72,1,0.0,0.0,0.0,0,0,0,0
alphapipsoptions.com,31.0,0,0.31,1,US,1,0,1.49,1,1.0,0.0,0.0,0,0,0,0
izumi.finance,100.0,0,0.15,1,US,1,0,3.13,0,0.0,0.0,0.0,0,0,0,1
aausdt365.com,1.0,0,1.0,1,SG,1,0,1.65,0,1.0,0.0,0.0,0,7,0,0
bilaxy.online,54.0,0,0.24,1,HK,1,0,2.4,0,0.0,0.0,0.0,0,0,0,0
cryptoprofx.com,17.0,0,0.6,0,US,1,0,2.04,1,0.0,0.0,0.0,0,0,0,0
lidcoin.vip,1.0,0,1.0,1,US,1,0,0.9,0,1.0,0.0,0.0,0,0,0,0
hugedomains.com,100.0,0,0.08,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
btcc.com,1.0,0,0.07,1,US,1,0,29.16,0,3.54,0.0,1.0,0,6,1,1
